File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
3-2.D,35.2812964786518,"Benzo[b]thiophene, 1,1-dioxide",825-44-5,1890.90215470024,317129.784216232,C8H6O2S,77.4048383805695
3-1.D,35.2843402460796,Ethyl Vanillin,121-32-4,1891.04387028958,307427.047762913,C9H10O3,75.4791740142535
3-3.D,35.2862352706526,"Benzaldehyde, 4-ethoxy-3-hydroxy-",2539-53-9,1891.13210125024,288553.493644004,C9H10O3,76.0379909118753
3-3.D,35.2862391527552,"Benzo[b]thiophene, 1,1-dioxide",825-44-5,1891.1322819981,286412.589140652,C8H6O2S,77.6189524551847
1-3.D,35.2879435700827,"2',4'-Dihydroxypropiophenone",5792-36-9,1891.21163842456,213660.29150463,C9H10O3,75.1602515286655
2-3.D,35.290168895649,Ethyl Vanillin,121-32-4,1891.31524795833,219718.482402592,C9H10O3,75.7595562477172
2-2.D,35.291850050016,Ethyl Vanillin,121-32-4,1891.39352127833,190963.464349338,C9H10O3,76.4265877412693
5-3.D,35.3695448099745,"Phenol, 2-propyl-",644-35-9,1895.01093258099,193083.246018814,C9H12O,77.96315895
1-2.D,35.384446269915,"1,3-Cyclohexadiene, 5-butyl-",30168-57-1,1895.70473367702,205053.605659141,C10H16,76.7158877894441
5-3.D,35.3882278546372,"Cyclopenta[c]pyran-1,3-dione, 4,4a,5,6-tetrahydro-4,7-dimethyl-",66407-26-9,1895.88080150094,384703.488641282,C10H12O3,75.7957104112271
5-2.D,35.3910991262534,"Benzaldehyde, 4-ethoxy-",10031-82-0,1896.01448581122,139845.126394521,C9H10O2,80.9649557807398
5-1.D,35.3912206729126,ortho-Hydroxypropiophenone,610-99-1,1896.02014493494,146094.338032519,C9H10O2,80.9680083990019
6-3.D,35.3926089166865,ortho-Hydroxypropiophenone,610-99-1,1896.08478055156,115233.361566855,C9H10O2,78.92792969
6-2.D,35.3933819282121,ortho-Hydroxypropiophenone,610-99-1,1896.12077140386,108898.820138572,C9H10O2,79.3452375153227
5-3.D,35.3937281826173,"Succinic acid, 3-chlorophenyl 4-methoxybenzyl ester",1000389-69-3,1896.13689275619,105242.241727859,C18H17ClO5,78.8324534958611
4-3.D,35.3940453972434,ortho-Hydroxypropiophenone,610-99-1,1896.15166203759,72834.0348192152,C9H10O2,77.221604485448
6-1.D,35.394826028064,ortho-Hydroxypropiophenone,610-99-1,1896.1880076387,138550.905012855,C9H10O2,75.4749546450325
4-2.D,35.3952686357065,"Benzaldehyde, 4-ethoxy-",10031-82-0,1896.20861512741,69493.5813054079,C9H10O2,78.7282675742171
1-2.D,35.3963195298786,"Phenol, 2-(1-methylpropyl)-",89-72-5,1896.25754399286,314235.390549505,C10H14O,76.606274807655
4-1.D,35.3978230879688,"Benzene, 1-methoxy-4-propyl-",104-45-0,1896.32754855987,65881.4253103425,C10H14O,75.5316863429252
3-3.D,35.398066850036,"Ethanone, 1-(4-hydroxyphenyl)-2-phenyl-",2491-32-9,1896.33889794376,109308.538806222,C14H12O2,83.6058351048021
3-3.D,35.3983448279784,ortho-Hydroxypropiophenone,610-99-1,1896.35184039381,135048.344331909,C9H10O2,82.788266843045
1-3.D,35.3990934084205,ortho-Hydroxypropiophenone,610-99-1,1896.3866937527,358401.939443714,C9H10O2,85.6486855200702
3-2.D,35.3994020651925,ortho-Hydroxypropiophenone,610-99-1,1896.40106458667,173473.122041315,C9H10O2,78.9636507933264
2-1.D,35.4029735672416,"Propanoic acid, 2-phenylethyl ester",122-70-3,1896.5673511147,737189.764508075,C11H14O2,79.9124048675852
1-1.D,35.4044882716787,"Benzene, 1-methoxy-4-propyl-",104-45-0,1896.63787464748,107670.503320566,C10H14O,80.1477572631218
2-3.D,35.4052395545248,"Propanoic acid, 2-phenylethyl ester",122-70-3,1896.67285382833,673243.147509955,C11H14O2,79.7356917536543
1-2.D,35.4062338991584,ortho-Hydroxypropiophenone,610-99-1,1896.71914978854,155268.278808126,C9H10O2,82.5736273667772
2-2.D,35.4071225370641,"Propanoic acid, 2-phenylethyl ester",122-70-3,1896.76052412069,621239.003735242,C11H14O2,79.0678833589612
6-2.D,35.6023776846135,Clindamycin,18323-44-9,1906.14801314027,34746.2869672987,C18H33ClN2O5S,75.883927342332
6-3.D,35.6082753534986,Naphyrone,850352-53-3,1906.43652057032,40213.335717532,C19H23NO,75.5383272140499
6-2.D,35.7847608942425,Tributyl phosphate,126-73-8,1915.06999776159,3150173.16570455,C12H27O4P,80.5307608327701
4-1.D,35.7855239349496,Tributyl phosphate,126-73-8,1915.1073248679,2226961.10701807,C12H27O4P,78.2480752088562
4-3.D,35.785651870992,Tributyl phosphate,126-73-8,1915.1135833574,1703761.37142148,C12H27O4P,77.4204274162008
4-2.D,35.7898312273386,Tributyl phosphate,126-73-8,1915.31803284114,3240666.74133113,C12H27O4P,80.6223485593344
3-1.D,35.7899417337957,Tributyl phosphate,126-73-8,1915.32343869463,7151769.2809111,C12H27O4P,84.5304558775497
5-1.D,35.792186570186,"Furan, 2-(1-pentenyl)-, (E)-",20992-69-2,1915.43325360464,1229357.43355107,C9H12O,77.0030157908016
1-1.D,35.7926852389405,Tributyl phosphate,126-73-8,1915.45764792782,4429165.05495967,C12H27O4P,81.7596807336949
3-3.D,35.7938159726539,Tributyl phosphate,126-73-8,1915.51296216876,3820831.68763124,C12H27O4P,82.0838537570734
1-2.D,35.794386381136,Tributyl phosphate,126-73-8,1915.54086591997,4323690.76814992,C12H27O4P,78.5522777844856
5-3.D,35.7951135445533,"Cyclopenta[c]pyran-1,3-dione, 4,4a,5,6-tetrahydro-4,7-dimethyl-",66407-26-9,1915.57643794899,890738.130699788,C10H12O3,81.4738417409069
6-1.D,35.7973422872158,"1,3-Cyclopentadiene, 5,5-dimethyl-1-propyl-",1000163-57-1,1915.68546557166,729638.700055373,C10H16,78.4486401933644
5-2.D,35.7981210092101,"1,3-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",99-86-5,1915.72355978916,568817.037633806,C10H16,75.5200295370887
2-3.D,35.7986952388871,Tributyl phosphate,126-73-8,1915.75165046899,2329158.31762638,C12H27O4P,76.2815232529368
2-2.D,35.7996866684006,Tributyl phosphate,126-73-8,1915.80015010276,3970266.67802555,C12H27O4P,82.015954884866
3-2.D,35.8003669977281,"Benzenemethanol, 4-ethyl-",768-59-2,1915.83343105998,770656.404648625,C9H12O,77.4341894561826
6-2.D,35.8011594036751,"Cyclohexene, 4-methyl-1-(1-methylethenyl)-",586-67-4,1915.8721946813,788901.570614894,C10H16,78.5797168957659
3-1.D,35.8015575757868,"Cyclohexene, 4-methyl-1-(1-methylethenyl)-",586-67-4,1915.89167282002,980532.279269184,C10H16,80.8323070867061
4-3.D,35.8042581846588,"1,3-Cyclohexadiene, 5-butyl-",30168-57-1,1916.02378361505,361089.788380204,C10H16,81.6893262600187
4-1.D,35.8042693324377,"Cyclohexene, 1-ethyl-6-ethylidene-",61141-57-9,1916.02432895205,422626.820393466,C10H16,76.2749798543977
4-1.D,35.8042845129361,"Phenol, 2-propyl-",644-35-9,1916.02507156522,420527.858094062,C9H12O,75.9189777393891
1-3.D,35.8061292868233,cis-2-(2-Pentenyl)furan,70424-13-4,1916.11531586064,931837.812015903,C9H12O,76.3262611781958
2-3.D,35.8171487330018,"Furan, 2-(1-pentenyl)-, (E)-",20992-69-2,1916.6543749634,277086.026016369,C9H12O,78.779101315173
1-2.D,35.8299628246273,"Silane, diethylisobutoxypentadecyloxy-",1000363-06-8,1917.28122613381,39197.9101400599,C23H50O2Si,78.9267540804393
5-3.D,35.8487252716636,"2-Cyclohexen-1-one, 3,5-dimethyl-",1123-09-7,1918.19906426297,338208.862524937,C8H12O,77.7118682457273
2-3.D,35.8610079084158,"Cyclopentasiloxane, decamethyl-",541-02-6,1918.79991724958,764610.122323439,C10H30O5Si5,80.4820917857617
