File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
2-3.D,30.0577051406966,1-Nonanol,143-08-8,1655.99919931632,5081003.55104722,C9H20O,91.2830236224945
2-2.D,30.057949532197,1-Nonanol,143-08-8,1656.00957511238,4778149.3969171,C9H20O,89.9533324315219
3-1.D,30.0596677684848,"2-Decenal, (E)-",3913-81-3,1656.08252392311,4797696.3580127,C10H18O,87.0536890864917
2-1.D,30.0597177290776,1-Undecanol,112-42-5,1656.08464503174,6705778.34358735,C11H24O,89.8327557999936
5-2.D,30.061624223573,1-Nonanol,143-08-8,1656.165586,5406780.1712263,C9H20O,90.3843637153385
5-1.D,30.0630798102434,1-Nonanol,143-08-8,1656.22738431873,5132486.92880412,C9H20O,90.0663540454929
5-3.D,30.0633292702343,1-Nonanol,143-08-8,1656.23797530077,5131576.06330841,C9H20O,91.0530955414224
5-2.D,30.0637087460954,"3,3-Diethoxy-1-propyne",10160-87-9,1656.25408618899,1653381.24071386,C7H12O2,78.0221996630817
1-3.D,30.0637684820422,"3,3-Diethoxy-1-propyne",10160-87-9,1656.25662231647,943618.82241208,C7H12O2,78.846905908493
1-1.D,30.0642993469956,"3,3-Diethoxy-1-propyne",10160-87-9,1656.27916052456,996888.584782016,C7H12O2,81.9850527542987
3-3.D,30.0648353963719,4-Methyl-5-decanol,213547-15-0,1656.30191884062,3522021.35155915,C11H24O,84.0075310555656
1-2.D,30.0659552554168,"3,3-Diethoxy-1-propyne",10160-87-9,1656.34946316621,1003356.30583479,C7H12O2,75.4420675580421
6-3.D,30.0671233570375,3-Ethyl-4-nonanol,19780-72-4,1656.39905566093,2819569.1818083,C11H24O,85.6001653326494
6-2.D,30.0676385494016,3-Ethyl-4-nonanol,19780-72-4,1656.42092847931,2412276.86747043,C11H24O,83.27676103
6-1.D,30.0681551903723,4-Methyl-5-decanol,213547-15-0,1656.4428627992,3788125.98312722,C11H24O,85.5554653687377
4-1.D,30.0699064901152,3-Ethyl-4-nonanol,19780-72-4,1656.51721533987,2176923.32557756,C11H24O,85.352265674717
4-3.D,30.0704711480052,3-Ethyl-4-nonanol,19780-72-4,1656.5411882485,2110658.46578327,C11H24O,86.5720235287604
4-2.D,30.0708945971943,4-Methyl-5-decanol,213547-15-0,1656.55916605223,2345011.86847623,C11H24O,85.5969467939231
6-3.D,30.1181851292303,Benzeneacetaldehyde,122-78-1,1658.56691556552,6429546.614,C8H8O,89.264528279806
6-2.D,30.1211103891043,Benzeneacetaldehyde,122-78-1,1658.69110932768,5697119.81203838,C8H8O,89.2753376205902
6-1.D,30.1214372828383,Benzeneacetaldehyde,122-78-1,1658.70498780837,6207603.52104462,C8H8O,89.5143273387183
5-1.D,30.1224467190976,Benzeneacetaldehyde,122-78-1,1658.7478440646,3886911.93466336,C8H8O,88.8996526062587
5-3.D,30.1226501119303,Benzeneacetaldehyde,122-78-1,1658.75647923624,3642559.83713436,C8H8O,86.8715166804665
5-2.D,30.1233590361759,Benzeneacetaldehyde,122-78-1,1658.78657706444,3968339.08095493,C8H8O,85.4322811382362
4-1.D,30.1243399174206,Benzeneacetaldehyde,122-78-1,1658.82822099943,6714564.79844179,C8H8O,89.6230720305103
4-3.D,30.1244584287774,Benzeneacetaldehyde,122-78-1,1658.83325247421,6051215.65115324,C8H8O,89.7787719965754
4-2.D,30.1252048931344,Benzeneacetaldehyde,122-78-1,1658.86494409163,6347155.95567703,C8H8O,89.8047842937829
3-2.D,30.1369321166805,Benzeneacetaldehyde,122-78-1,1659.36283080073,5540225.97501188,C8H8O,80.8050850464226
3-1.D,30.1373952114754,Benzeneacetaldehyde,122-78-1,1659.38249178379,5400973.16265511,C8H8O,83.4620053805498
3-3.D,30.1395168141066,Benzeneacetaldehyde,122-78-1,1659.4725657683,5265159.84784017,C8H8O,82.8649809658465
1-2.D,30.1399867251423,Benzeneacetaldehyde,122-78-1,1659.49251613918,5415439.63219711,C8H8O,85.0683878176009
2-1.D,30.1423382608894,Benzeneacetaldehyde,122-78-1,1659.59235207987,5186449.40189969,C8H8O,77.5129622406314
1-1.D,30.1424989754423,Benzeneacetaldehyde,122-78-1,1659.59917531809,5002354.8246078,C8H8O,87.1751100057697
2-3.D,30.1454537586285,Benzeneacetaldehyde,122-78-1,1659.72462251119,4893634.72184951,C8H8O,79.2707201781059
1-3.D,30.1456599870629,Benzeneacetaldehyde,122-78-1,1659.73337807009,5102406.02895883,C8H8O,87.080885975892
2-2.D,30.1483919417162,Benzeneacetaldehyde,122-78-1,1659.84936493658,4495358.74078075,C8H8O,83.3631753554647
3-3.D,30.1560727712999,3-Furanmethanol,4412-91-3,1660.17545942515,8278973.94734022,C5H6O2,96.4482382809737
3-2.D,30.1573363304092,3-Furanmethanol,4412-91-3,1660.22910462805,7532540.76364366,C5H6O2,96.288172565358
3-1.D,30.1593180476099,3-Furanmethanol,4412-91-3,1660.31323968795,7692780.52693914,C5H6O2,95.7081664587948
2-3.D,30.1609853919571,3-Furanmethanol,4412-91-3,1660.38402784907,5471565.29539165,C5H6O2,94.9152443178876
2-3.D,30.1610303504667,2-Furanmethanol,98-00-0,1660.3859365911,5431536.9096684,C5H6O2,94.2118091980731
2-2.D,30.1618205790768,3-Furanmethanol,4412-91-3,1660.41948624764,5167023.47708291,C5H6O2,94.2867250391931
1-2.D,30.1625416132271,3-Furanmethanol,4412-91-3,1660.45009820952,4537365.8185829,C5H6O2,95.797522806558
2-1.D,30.1626483157108,3-Furanmethanol,4412-91-3,1660.4546283311,5709908.31333056,C5H6O2,94.1763971359237
2-1.D,30.16264954,2-Furanmethanol,98-00-0,1660.4546803095,5710894.19150544,C5H6O2,94.4173743005856
1-1.D,30.1627190070277,3-Furanmethanol,4412-91-3,1660.45762957577,4373368.65553037,C5H6O2,95.4241360569379
1-3.D,30.1628808255861,2-Furanmethanol,98-00-0,1660.46449968524,3913886.77481702,C5H6O2,95.9483427655265
5-2.D,30.1685656340157,3-Furanmethanol,4412-91-3,1660.7058518305,80393836.4914217,C5H6O2,96.6269238930668
2-2.D,30.1687734011602,Boron trifluoride,7637/7/2,1660.71467271632,4477.33504551717,BF3,76.4488706457379
