File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
4-1.D,50.7320185962943,Tetradecanoic acid,544-63-8,2691.69020814578,1934106.06233588,C14H28O2,80.8908606803916
2-1.D,50.7324836393433,Tetradecanoic acid,544-63-8,2691.7103477261,4600030.00479587,C14H28O2,86.0745893238249
1-3.D,50.7415284355675,Tetradecanoic acid,544-63-8,2692.10204995745,2162028.85138818,C14H28O2,77.9659940386411
4-3.D,50.9464191456086,"Phosphonofluoridic acid, (1-methylethyl)-, 1-methylethyl ester",665-33-8,2700.81185181371,64098.8092121088,C6H14FO2P,77.1294950839715
3-2.D,51.2397557878977,"2-Buten-1-one, 3-amino-1-phenyl-4,4,4-trifluoro-",70168-22-8,2711.38711471258,9580.26813857373,C10H8F3NO,76.6709403272002
4-3.D,51.278726195797,Dibutyl phthalate,84-74-2,2712.79206128045,152206.658743508,C16H22O4,87.5825004903551
6-2.D,51.280908482638,Dibutyl phthalate,84-74-2,2712.87073626931,166493.865014462,C16H22O4,78.9913325980373
5-1.D,51.2820034187811,"Ethaneperoxoic acid, 1-cyano-1-[2-(2-phenyl-1,3-dioxolan-2-yl)ethyl]pentyl ester",58422-92-7,2712.91021049755,140725.654133875,C19H25NO5,82.2302903916684
5-1.D,51.2820516870108,"Phthalic acid, 6-ethyl-3-octyl butyl ester",1000315-17-4,2712.91195064571,190277.518843513,C22H34O4,77.3489203096407
5-2.D,51.2820736844016,Dibutyl phthalate,84-74-2,2712.91274368742,132373.35201667,C16H22O4,85.8637940245207
6-3.D,51.2836951589028,Dibutyl phthalate,84-74-2,2712.97120047959,129148.748210882,C16H22O4,80.0341857465848
6-3.D,51.2852351331969,"Phthalic acid, 6-ethyl-3-octyl butyl ester",1000315-17-4,2713.02671905678,118970.731711988,C22H34O4,78.4237973423619
3-2.D,51.2876666450348,Dibutyl phthalate,84-74-2,2713.114379,184845.071775743,C16H22O4,88.1374601649223
5-3.D,51.2876723311014,"Phthalic acid, butyl cyclobutyl ester",1000314-89-9,2713.11458400394,136115.395010334,C16H20O4,76.0811086001888
4-1.D,51.2881153168706,Dibutyl phthalate,84-74-2,2713.13055436119,194150.938970469,C16H22O4,82.5820430099009
2-1.D,51.2907764696869,Dibutyl phthalate,84-74-2,2713.22649324706,301313.912636853,C16H22O4,87.0402666194608
1-3.D,51.2939088835696,Dibutyl phthalate,84-74-2,2713.33942186061,407658.646498788,C16H22O4,86.6283431242232
4-2.D,51.2954224862228,Dibutyl phthalate,84-74-2,2713.39398969727,205841.439948635,C16H22O4,76.6966690280337
1-2.D,51.3009337645829,Dibutyl phthalate,84-74-2,2713.59268024309,444087.963144979,C16H22O4,87.3643662733092
3-3.D,51.3009911047679,Dibutyl phthalate,84-74-2,2713.59474744999,227697.889182912,C16H22O4,83.8251396014762
3-1.D,51.3014726994612,Dibutyl phthalate,84-74-2,2713.61210972173,288314.750939905,C16H22O4,86.4991668215675
1-1.D,51.3027040530219,Dibutyl phthalate,84-74-2,2713.65650201968,500715.237537994,C16H22O4,90.1883115
2-3.D,51.3042177178302,Dibutyl phthalate,84-74-2,2713.71107209713,226650.387010617,C16H22O4,86.6903165289508
2-2.D,51.3043961896229,Dibutyl phthalate,84-74-2,2713.71750629544,284702.49941739,C16H22O4,85.2363743999451
2-2.D,51.8751591992362,"Fumaric acid, ethyl 2-methylallyl ester",1000330-54-1,2734.29444081174,373297.314540587,C10H14O4,76.529313734434
4-3.D,52.0897661973239,Benzeneacetamide,103-81-1,2742.03137202841,60913.565697126,C8H9NO,79.0231878943159
4-1.D,52.0923137284293,Benzeneacetamide,103-81-1,2742.12321466686,62832.9047537748,C8H9NO,76.6692798587954
6-2.D,52.0930806974088,"Benzeneethanol, .alpha.-methyl-",698-87-3,2742.15086514561,59980.9640728962,C9H12O,75.9654422381722
6-3.D,52.0932104706033,Benzeneacetamide,103-81-1,2742.15554368027,48250.8169335134,C8H9NO,77.4288136601837
